; **********************
; Weapons
; **********************
; Vials
gear-Vial       =Vials
wp-vial-00		=Solvent
wp-vial-00-desc	=Can also be used to solve fights, in a pinch.
wp-vial-01		=Bottled Smoke
wp-vial-01-desc	=Can also be used in marinades and sauces, in a pinch.
wp-vial-02		=Ice Essence
wp-vial-02-desc	=This bottle of pure freezing energy wards off heat.
wp-vial-03		=Flame Essence
wp-vial-03-desc	=This bottle of pure blazing energy resists the cold.
wp-vial-04		=Stone Essence
wp-vial-04-desc	=This bottle of pure crushing energy grounds against shock.
wp-vial-05		=Bolt Essence
wp-vial-05-desc	=This bottle of pure shocking energy resists earthly forces.
wp-vial-06		=Elixir
wp-vial-06-desc	=A potent potable that can heal wounds.
wp-vial-07		=Mystery Glue
wp-vial-07-desc	=If the adhesive doesn't stop them, the confusion will.
wp-vial-08		=Holy Water
wp-vial-08-desc	=As long as you keep refilling it with water, the blessing against the dark will never run out.
wp-vial-09		=Unholy Water
wp-vial-09-desc	=As long as you keep refilling it with blood, the curse unto the light will never run out.
wp-vial-10		=Ingot
wp-vial-10-desc	=A dense bar of metal, perfect for throwing.
wp-vial-11		=Clearly Safe Liquid
wp-vial-11-desc	=Others may be deterred by its false advertising, but the liquid inside is completely harmless.
wp-vial-12		=Chemical X
wp-vial-12-desc	=Combines well with most sugars and spices.
wp-vial-13		=Slime Goo
wp-vial-13-desc	=An extremely sticky substance to slow your enemies down. Tastes like cherries.
wp-vial-14		=Jar of Tar
wp-vial-14-desc	=A viscous odorous substance. Feathers not included.
wp-vial-15		=Sweet Dreams
wp-vial-15-desc	=Also intended for the relief of various symptoms of the common cold.
